,Hedge,HedgeContext,FativeVerb,FactiveVerbContext,AssertiveVerb,AssertiveVerbContext,ImplicativeVerb,ImplicativeVerbContext,ReportVerb,ReportVerbContext,StrongSub,StrongSubContext,WeakSub,WeakSubContext,PositiveWord,PositiveWordContext,NegativeWord,NegativeWordContext,BiasLexicon,bjp_count,congress_count
38,2.222222222,8.888888889,1.666666667,6.666666667,3.333333333,13.33333333,3.888888889,15.55555556,8.333333333,32.77777778,13.88888889,43.33333333,12.22222222,40.55555556,4.444444444,15,12.77777778,41.66666667,20,2.777777778,1.666666667
39,2.593659942,9.798270893,3.170028818,12.1037464,7.492795389,25.36023055,0.288184438,1.152737752,13.25648415,38.90489914,7.204610951,23.05475504,15.27377522,45.53314121,0.864553314,3.458213256,6.340057637,21.90201729,28.8184438,2.305475504,0.864553314
40,0.4,1.6,1.2,4,2.8,11.2,0.8,2.8,6.4,22.4,14,44.8,15.6,46.4,5.6,20.8,11.2,36.4,25.6,4.8,1.2
41,1.754385965,7.01754386,0.292397661,1.169590643,2.631578947,10.52631579,0.292397661,1.169590643,7.894736842,27.48538012,12.28070175,40.35087719,16.95906433,48.5380117,6.140350877,18.71345029,11.69590643,38.59649123,28.07017544,1.754385965,2.046783626
42,0.6,2.4,0.4,1.6,1.4,5.6,0.8,3.2,4.6,16,11.8,39.2,16.8,48.2,3.4,11.4,13.6,41.8,23.4,0.6,1.4
43,3.546099291,13.4751773,0,0,2.127659574,8.510638298,0.709219858,2.836879433,2.836879433,9.929078014,13.4751773,39.71631206,19.14893617,55.31914894,4.255319149,14.18439716,14.18439716,36.87943262,29.78723404,4.255319149,1.418439716
44,1.877934272,7.511737089,0.469483568,1.877934272,4.694835681,17.84037559,0.469483568,1.877934272,10.3286385,36.15023474,13.61502347,44.1314554,12.67605634,40.84507042,2.816901408,11.26760563,16.43192488,50.70422535,30.51643192,4.694835681,4.694835681
45,0,0,1.327433628,5.309734513,0.884955752,3.539823009,0.442477876,1.769911504,3.097345133,12.38938053,14.60176991,46.46017699,14.60176991,43.80530973,6.194690265,21.23893805,7.079646018,26.99115044,26.99115044,3.539823009,2.654867257
46,1.223776224,4.895104895,1.398601399,5.594405594,2.272727273,8.916083916,1.223776224,4.545454545,5.769230769,21.85314685,12.58741259,40.73426573,14.16083916,44.58041958,4.195804196,15.90909091,7.167832168,25.52447552,31.99300699,3.496503497,2.622377622
47,1.312910284,5.251641138,0.875273523,3.501094092,0.656455142,2.625820569,1.969365427,7.221006565,3.282275711,12.4726477,12.25382932,39.38730853,17.50547046,52.51641138,6.564551422,23.19474836,10.06564551,35.44857768,25.60175055,5.470459519,2.625820569
