,Unnamed: 0,Hedge,HedgeContext,FativeVerb,FactiveVerbContext,AssertiveVerb,AssertiveVerbContext,ImplicativeVerb,ImplicativeVerbContext,ReportVerb,ReportVerbContext,StrongSub,StrongSubContext,WeakSub,WeakSubContext,PositiveWord,PositiveWordContext,NegativeWord,NegativeWordContext,BiasLexicon,bjp_count,congress_count,Biased,label
151,151,2.059496568,8.009153318,1.601830664,5.949656751,5.720823799,21.28146453,2.517162471,10.06864989,7.5514874139999995,27.68878719,5.949656751,21.51029748,13.04347826,42.56292906,5.0343249430000006,19.67963387,2.974828375,11.8993135,29.9771167,3.6613272310000005,3.203661327,1,others
153,153,1.694915254,6.7796610170000005,0.847457627,3.389830508,8.474576271,32.20338983,0.0,0.0,10.16949153,37.28813559,2.542372881,10.16949153,9.322033897999999,32.20338983,0.847457627,3.389830508,4.237288136,16.10169492,33.89830508,1.694915254,5.084745763,1,others
160,160,3.404255319,12.9787234,1.276595745,5.106382979,3.404255319,12.9787234,1.70212766,6.808510638,6.595744681,24.25531915,16.59574468,51.27659574,25.53191489,70.21276596,7.234042552999999,25.31914894,7.446808511,26.38297872,28.93617021,4.468085106,0.85106383,1,others
162,162,1.9230769230000002,7.692307692000001,0.0,0.0,8.461538462,32.30769231,0.0,0.0,15.76923077,51.53846154,9.615384615,33.84615385,16.92307692,51.92307692,3.461538462,13.46153846,8.461538462,31.15384615,35.38461538,14.61538462,3.8461538460000004,1,others
163,163,3.381014304,12.2236671,0.78023407,3.120936281,2.0806241869999997,8.322496748999999,1.300390117,4.941482445,7.412223667,25.35760728,12.61378414,43.04291287,16.38491547,52.40572172,4.031209363,15.08452536,7.932379714,28.21846554,27.69830949,8.322496748999999,1.56046814,1,others
164,164,1.347708895,5.121293801,1.078167116,3.7735849060000004,3.504043127,13.47708895,0.808625337,3.234501348,11.32075472,38.00539084,9.164420485,32.0754717,14.55525606,44.20485175,3.7735849060000004,14.01617251,6.1994609160000005,22.37196765,29.11051213,4.5822102430000005,4.312668464,1,others
166,166,2.209944751,8.287292818,2.209944751,8.839779006,4.419889503,17.12707182,1.6574585640000001,6.6298342539999995,9.392265193,32.59668508,6.6298342539999995,23.75690608,9.392265193,30.38674033,1.6574585640000001,6.6298342539999995,5.524861877999999,20.99447514,31.49171271,2.7624309389999997,1.1049723759999999,1,others
171,171,0.37037037,1.4814814809999999,1.111111111,4.444444444,4.074074073999999,15.92592593,0.37037037,1.4814814809999999,7.037037037,26.296296299999998,5.925925926000001,19.62962963,8.518518519,30.0,2.222222222,8.888888889,8.148148147999999,26.296296299999998,30.37037037,1.4814814809999999,3.7037037039999996,1,others
172,172,0.308641975,1.234567901,1.234567901,4.938271605,5.24691358,20.0617284,2.160493827,8.641975309,8.641975309,30.86419753,11.41975309,35.80246914,15.74074074,48.45679012,5.24691358,20.67901235,9.259259259,31.48148148,28.08641975,5.555555556,1.234567901,1,others
173,173,0.8620689659999999,3.448275862,0.0,0.0,2.586206897,10.34482759,0.0,0.0,6.034482758999999,21.55172414,6.896551724,24.13793103,12.93103448,44.82758621,4.310344828,16.37931034,8.620689655,29.31034483,33.62068966,9.482758621,2.586206897,1,others
175,175,1.5503875969999998,6.201550387999999,0.775193798,3.1007751939999997,6.976744186,26.74418605,0.775193798,3.1007751939999997,10.07751938,37.59689922,9.689922481,33.72093023,6.589147287,24.03100775,1.937984496,7.751937984,6.589147287,22.09302326,28.68217054,2.713178295,2.713178295,1,others
176,176,3.009259259,11.34259259,0.9259259259999999,3.7037037039999996,5.787037037,21.2962963,0.9259259259999999,3.240740741,10.18518519,34.49074074,12.26851852,39.35185185,16.66666667,49.30555556,4.398148148,17.36111111,6.25,21.52777778,29.39814815,3.240740741,2.546296296,1,others
179,179,0.0,0.0,0.507614213,2.030456853,2.538071066,10.15228426,0.507614213,2.030456853,5.076142132,19.79695431,6.0913705579999995,19.79695431,13.19796954,46.1928934,3.553299492,13.70558376,4.568527919,16.75126904,29.94923858,1.01010101,5.555555556,1,others
180,180,2.845528455,10.56910569,0.81300813,3.25203252,7.3170731710000005,28.86178862,0.81300813,3.25203252,10.16260163,36.58536585,6.9105691060000005,24.79674797,11.78861789,42.27642276,4.471544715,15.85365854,2.845528455,11.38211382,28.86178862,0.38910505799999995,0.38910505799999995,1,others
181,181,0.852272727,3.4090909089999997,0.0,0.0,5.681818182000001,20.73863636,0.568181818,2.272727273,6.25,21.59090909,6.818181817999999,23.57954545,15.34090909,48.57954545,5.965909091,22.72727273,2.5568181819999998,9.943181818,30.68181818,1.983002833,0.566572238,1,others
182,182,3.097345133,11.94690265,0.442477876,1.769911504,3.982300885,15.48672566,0.884955752,3.5398230089999996,4.424778761000001,16.37168142,3.982300885,15.48672566,15.48672566,48.2300885,4.424778761000001,17.69911504,1.769911504,5.752212388999999,30.53097345,2.173913043,0.434782609,1,others
183,183,1.675977654,6.703910615,2.234636872,8.938547486000001,6.703910615,24.58100559,2.234636872,8.938547486000001,11.73184358,39.10614525,3.910614525,13.40782123,13.96648045,49.16201117,1.675977654,6.703910615,5.027932961,16.20111732,27.93296089,1.6483516480000002,1.098901099,1,others
186,186,1.240694789,4.962779156,4.218362283,16.37717122,5.210918114,18.36228288,1.488833747,5.955334988,11.91066998,38.46153846,4.4665012410000005,16.62531017,13.15136476,43.17617866,0.9925558309999999,3.970223325,5.955334988,21.58808933,29.28039702,1.2285012290000001,1.474201474,1,others
187,187,1.002004008,4.008016032,1.20240481,4.809619238,2.404809619,9.619238477,2.004008016,8.016032064,4.408817635,16.43286573,9.819639279,31.66332665,16.63326653,50.1002004,6.012024048,22.04408818,7.214428858,24.4488978,29.65931864,1.402805611,1.002004008,1,others
188,188,1.97044335,7.881773399,5.418719212,18.71921182,4.433497537,16.25615764,0.492610837,1.97044335,10.34482759,33.00492611,5.911330049,22.66009852,12.31527094,35.96059113,2.955665025,11.8226601,0.985221675,3.9408866999999996,34.48275862,0.0,0.0,1,others
196,196,1.212121212,4.242424242,2.02020202,8.080808081,1.4141414140000002,5.656565657000001,2.424242424,8.888888889,3.2323232319999997,12.92929293,13.93939394,42.62626263,16.36363636,53.13131313,9.292929293,34.54545455,6.464646465,22.82828283,27.07070707,3.006012024,1.002004008,1,others
197,197,1.242236025,4.968944099,0.621118012,2.48447205,6.211180124,22.98136646,0.621118012,2.48447205,16.14906832,47.82608696,11.18012422,37.26708075,6.211180124,22.98136646,3.105590062,12.42236025,4.347826087,16.14906832,37.26708075,0.0,1.8292682930000002,1,others
198,198,0.666666667,2.666666667,0.0,0.0,4.0,15.33333333,0.666666667,2.666666667,10.0,37.33333333,11.33333333,44.0,12.66666667,44.66666667,4.666666667,18.66666667,0.0,0.0,36.0,1.324503311,8.609271523,1,others
199,199,1.875,7.5,0.625,2.5,1.875,7.5,0.625,2.5,9.375,33.125,6.25,23.75,7.5,25.0,3.75,15.0,1.875,7.5,31.875,1.234567901,3.7037037039999996,1,others
201,201,0.0,0.0,0.0,0.0,5.555555556,16.66666667,5.555555556,22.22222222,8.333333332999999,22.22222222,11.11111111,38.88888889,22.22222222,63.88888889,11.11111111,33.33333333,8.333333332999999,27.77777778,27.77777778,2.777777778,0.0,1,others
202,202,0.421940928,1.687763713,0.421940928,1.687763713,2.109704641,6.329113924,2.109704641,8.438818565,4.219409283,13.92405063,6.329113924,22.3628692,15.18987342,46.41350211,6.329113924,23.62869198,5.0632911389999995,20.25316456,28.27004219,0.41841004200000004,0.41841004200000004,1,others
203,203,1.746724891,6.550218341,2.183406114,7.8602620089999995,2.620087336,9.6069869,0.873362445,3.493449782,4.80349345,18.34061135,6.113537117999999,20.96069869,17.03056769,50.65502183,3.493449782,12.22707424,2.183406114,6.986899563,29.25764192,0.865800866,1.731601732,1,others
204,204,0.546448087,2.18579235,0.8196721309999999,2.7322404369999997,7.37704918,27.32240437,0.273224044,1.092896175,9.289617486000001,32.78688525,4.371584699,15.84699454,11.74863388,39.89071038,4.0983606560000005,15.84699454,1.092896175,4.371584699,28.68852459,1.89701897,0.54200542,1,others
205,205,1.8867924530000002,7.547169811,0.943396226,3.7735849060000004,5.660377358,20.75471698,0.0,0.0,8.490566037999999,32.0754717,13.20754717,46.22641509,17.9245283,57.54716981,7.547169811,29.24528302,6.603773585,21.69811321,30.18867925,0.0,0.0,1,others
206,206,1.4005602240000001,5.322128852,0.56022409,2.240896359,3.081232493,11.20448179,0.8403361340000001,3.081232493,5.322128852,19.32773109,5.0420168069999995,17.36694678,12.88515406,42.01680672,4.201680672,14.84593838,3.641456583,13.44537815,28.85154062,1.960784314,1.4005602240000001,1,others
207,207,2.445652174,9.782608696,0.543478261,2.173913043,4.347826087,16.0326087,1.086956522,3.8043478260000003,6.52173913,24.45652174,8.152173913,27.98913043,16.57608696,51.63043478,6.52173913,25.0,6.25,22.55434783,27.17391304,3.260869565,0.27173913,1,others
208,208,5.0,16.66666667,3.333333333,8.333333332999999,3.333333333,13.33333333,0.0,0.0,5.0,16.66666667,15.0,48.33333333,20.0,56.66666667,16.66666667,58.33333333,1.6666666669999999,6.666666667,36.66666667,3.333333333,0.0,1,others
213,213,1.762114537,7.04845815,2.2026431719999997,8.810572687,5.066079295,19.82378855,1.1013215859999999,4.405286343999999,6.607929515,24.00881057,5.286343612,20.04405286,19.82378855,59.25110132,7.04845815,25.77092511,3.3039647580000002,12.55506608,27.97356828,1.318681319,0.0,1,others
223,223,1.411764706,5.647058824,2.1176470590000003,8.470588235,3.764705882,14.82352941,1.176470588,4.470588235,5.882352941000001,20.23529412,4.2352941180000006,15.52941176,11.05882353,36.94117647,3.2941176469999998,12.47058824,4.470588235,16.47058824,28.23529412,0.46948356799999996,0.23474178399999998,1,others
